PROLIFIC_ID,StartDate.x,EndDate.x,Status.x,Progress.x,Duration (in seconds).x,Finished.x,RecordedDate.x,ResponseId.x,DistributionChannel.x,UserLanguage.x,Consent,nationality,country,resident,FFQ_1,FFQ_2,FFQ_3,FFQ_4,FFQ_5,FFQ_6,FFQ_7,FFQ_8,FFQ_9,FFQ_10,FFQ_11,FFQ_12,FFQ_13,FFQ_14,FFQ_15,norm_time_First Click,norm_time_Last Click,norm_time_Page Submit,norm_time_Click Count,interest_T1_1,attitude_T1_1,intentionuni_T1_1,intentionbi_T1_1,cons_now_perc_1,cons_next_perc_1,cons_six_perc_1,man_check,politics_1,age,gender,veg,PROLIFIC_PID.x,condition,format,norm_info,StartDate.y,EndDate.y,Status.y,Progress.y,Duration (in seconds).y,Finished.y,RecordedDate.y,ResponseId.y,DistributionChannel.y,UserLanguage.y,interest_T2_1,attitude_T2_1,intentionuni_T2_1,intentionbi_T2_1,FFQ_T2_1,FFQ_T2_2,FFQ_T2_3,FFQ_T2_4,FFQ_T2_5,FFQ_T2_6,FFQ_T2_7,FFQ_T2_8,FFQ_T2_9,FFQ_T2_10,FFQ_T2_11,FFQ_T2_12,FFQ_T2_13,FFQ_T2_14,FFQ_T2_15,think_reduce,why_think,active_reduce,PROLIFIC_PID.y
00aGwdK3g5,2022-07-07T21:08:49Z,2022-07-07T21:11:12Z,IP Address,100,143,TRUE,2022-07-07T21:11:12Z,R_3h5cLQPTRG5Q0ha,anonymous,EN-GB,"Yes, I am over 18 years old, and I consent to take part in this study",British,English,Yes,Three times,Three times,Never,Once (during those 7 days),Never,Never,Never,Twice,4 or more times per day,4 or more times per day,Twice,Twice,Four times,2 times per day,Once (during those 7 days),2.016,2.016,6.793,1,25,35,74,50,43,59,87,More people are eating less meat,3,24,Female,No,606f65efa9c064c9771bb7aa,st_graph,visual,static,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
065gZkVzeZ,2022-07-07T20:24:51Z,2022-07-07T20:28:39Z,IP Address,100,228,TRUE,2022-07-07T20:28:40Z,R_51s1tah4nRUb3pv,anonymous,EN-GB,"Yes, I am over 18 years old, and I consent to take part in this study",British,English,Yes,Four times,Three times,Never,Twice,Once (during those 7 days),Once (during those 7 days),Never,Twice,Four times,Six times,Once (during those 7 days),Never,Never,Seven times,Six times,0,0,18.544,0,67,54,76,32,23,22,42,More people are eating less meat,2,21,Female,No,60e049cd5c9c63daad34def0,st_text,text,static,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
06fZDyrce7,2022-07-08T21:22:47Z,2022-07-08T21:25:57Z,IP Address,100,190,TRUE,2022-07-08T21:25:57Z,R_2WUKCMfgY0ZPEfV,anonymous,EN-GB,"Yes, I am over 18 years old, and I consent to take part in this study",British,English,Yes,Twice,Four times,Three times,Twice,Four times,Five times,Three times,Twice,Twice,Three times,Four times,Three times,Three times,Three times,Five times,0,0,9.971,0,2,0,2,84,65,25,35,More people are eating less meat,5,34,Male,No,62ac80ca0673e103b6d99f99,dy_graph,visual,dynamic,2022-07-15T12:01:39Z,2022-07-15T12:03:28Z,IP Address,100,108,TRUE,2022-07-15T12:03:28Z,R_pTdwoK14bWiwm6l,anonymous,EN-GB,6,4,4,49,Five times,Twice,Four times,Four times,Three times,Five times,Seven times,Three times,Five times,Twice,Six times,Six times,Six times,Seven times,Four times,No,Eaten meat every day,No,62ac80ca0673e103b6d99f99
08d9EC2QZ3,2022-07-07T14:28:11Z,2022-07-07T14:33:15Z,IP Address,100,303,TRUE,2022-07-07T14:33:15Z,R_BzyaXqPsuybyJwJ,anonymous,EN-GB,"Yes, I am over 18 years old, and I consent to take part in this study",British,English,Yes,3 times per day,Once (during those 7 days),Never,Once (during those 7 days),Twice,Once (during those 7 days),Never,Twice,Four times,Once (during those 7 days),2 times per day,Never,Never,Seven times,Never,3.665,3.665,4.331,1,52,71,78,48,17,19,93,People are eating about the same amount of meat,3,52,Female,No,62b1ee5ae17412d15ebd3097,dy_graph,visual,dynamic,2022-07-14T14:28:58Z,2022-07-14T14:31:25Z,IP Address,100,146,TRUE,2022-07-14T14:31:25Z,R_12597qsOKitWMAJ,anonymous,EN-GB,45,49,52,71,Seven times,Once (during those 7 days),Never,Once (during those 7 days),Once (during those 7 days),Never,Never,Twice,Five times,Once (during those 7 days),Five times,Never,Never,Four times,Never,NA,NA,No,62b1ee5ae17412d15ebd3097
09nm6qsqcw,2022-07-07T21:54:59Z,2022-07-07T21:57:10Z,IP Address,100,131,TRUE,2022-07-07T21:57:10Z,R_3rHhMmFawijgMxi,anonymous,EN-GB,"Yes, I am over 18 years old, and I consent to take part in this study",British,English,Yes,Five times,Three times,Never,Once (during those 7 days),Never,Once (during those 7 days),Once (during those 7 days),Twice,Once (during those 7 days),Six times,Never,Never,Never,Once (during those 7 days),Never,0,0,2.549,0,100,74,70,50,15,15,30,More people are eating less meat,2,29,Female,No,5c52481296b5130001776b83,none,none,none,2022-07-14T14:20:19Z,2022-07-14T14:22:21Z,IP Address,100,122,TRUE,2022-07-14T14:22:21Z,R_3lLyDs7cobBfmbo,anonymous,EN-GB,100,100,74,50,Five times,Four times,Once (during those 7 days),Once (during those 7 days),Never,Never,Once (during those 7 days),Four times,Twice,Seven times,Never,Never,Never,Four times,Never,No,Because I still ate meat with most meals,No,5c52481296b5130001776b83
0a7hcSr5Cz,2022-07-08T21:01:29Z,2022-07-08T21:08:26Z,IP Address,100,416,TRUE,2022-07-08T21:08:26Z,R_2dQMGs5sjXO1DS7,anonymous,EN-GB,"Yes, I am over 18 years old, and I consent to take part in this study",British,Scottish,Yes,Seven times,Three times,Once (during those 7 days),Three times,Twice,Twice,Never,Twice,Seven times,Seven times,Once (during those 7 days),Twice,Once (during those 7 days),Three times,Never,39.329,39.329,63.541,1,53,56,64,64,23,15,40,Fewer people are eating less meat,2,37,Male,No,629f2d6a8d790f69182e8b3e,st_text,text,static,2022-07-15T15:59:24Z,2022-07-15T16:01:16Z,IP Address,100,112,TRUE,2022-07-15T16:01:17Z,R_7P71SL537ShFccx,anonymous,EN-GB,51,53,72,65,Four times,Twice,Once (during those 7 days),Four times,Three times,Twice,Never,Twice,Seven times,Seven times,Never,Twice,Once (during those 7 days),Three times,Never,Yes,I had a chili that was meat free and ate it over three nights,No,629f2d6a8d790f69182e8b3e
0bGnKovhIF,2022-07-07T14:47:33Z,2022-07-07T14:50:15Z,IP Address,100,162,TRUE,2022-07-07T14:50:15Z,R_ZvFVlphGJxrTzod,anonymous,EN-GB,"Yes, I am over 18 years old, and I consent to take part in this study",British,English,Yes,2 times per day,Twice,Never,Twice,Never,Once (during those 7 days),Never,Three times,2 times per day,Seven times,Twice,Twice,Twice,Four times,Never,0,0,9.402,0,69,100,73,17,25,25,36,More people are eating less meat,4,50,Female,No,5f057c7f3f3bf0000b446bb9,st_text,text,static,2022-07-14T14:21:16Z,2022-07-14T14:25:08Z,IP Address,100,231,TRUE,2022-07-14T14:25:08Z,R_2zBXDyf14El5h1K,anonymous,EN-GB,50,50,52,50,Four times,Twice,Never,Four times,Never,Once (during those 7 days),Never,Twice,Seven times,2 times per day,Twice,Once (during those 7 days),Twice,Six times,Never,No,I was eating with other carnivores,Yes,5f057c7f3f3bf0000b446bb9
0Cmt5fFAKO,2022-07-07T21:52:31Z,2022-07-07T21:57:15Z,IP Address,100,283,TRUE,2022-07-07T21:57:15Z,R_30f6WJmiebOAC8Z,anonymous,EN-GB,"Yes, I am over 18 years old, and I consent to take part in this study",British,English,Yes,Five times,Three times,Never,Three times,Once (during those 7 days),Once (during those 7 days),Never,Once (during those 7 days),Five times,Five times,Twice,Twice,Never,Twice,Never,0,0,6.332,0,24,51,25,51,50,53,58,More people are eating less meat,4,55,Male,No,5f7ca9b13e20031150440b98,none,none,none,2022-07-14T18:04:05Z,2022-07-14T18:06:11Z,IP Address,100,125,TRUE,2022-07-14T18:06:11Z,R_ZghFBNwihqD2iAx,anonymous,EN-GB,39,50,5,43,Five times,Twice,Never,Twice,Twice,Twice,Never,Twice,Six times,Six times,Four times,Four times,Never,Five times,Never,No,Felt like the same amount,No,5f7ca9b13e20031150440b98
0EapBEBiJY,2022-07-07T14:47:21Z,2022-07-07T14:49:07Z,IP Address,100,105,TRUE,2022-07-07T14:49:07Z,R_0B1XkB7MUDmzeg1,anonymous,EN-GB,"Yes, I am over 18 years old, and I consent to take part in this study",British,English,Yes,Three times,Twice,Never,Never,Never,Never,Never,Three times,Twice,Twice,Never,Never,Never,Twice,Never,0,0,5.311,0,56,56,55,76,27,75,81,More people are eating less meat,4,44,Female,No,5dc354c5f375a926b78b089e,dy_text,text,dynamic,2022-07-14T16:48:32Z,2022-07-14T16:50:01Z,IP Address,100,89,TRUE,2022-07-14T16:50:02Z,R_1LYB5YXhUDV08zY,anonymous,EN-GB,59,67,71,79,Six times,Once (during those 7 days),Never,Once (during those 7 days),Never,Never,Never,Twice,Four times,Four times,Once (during those 7 days),Never,Never,Three times,Never,Yes,No money for meat,No,5dc354c5f375a926b78b089e
0EKaj1n75w,2022-07-08T21:01:47Z,2022-07-08T21:04:20Z,IP Address,100,152,TRUE,2022-07-08T21:04:20Z,R_QienfDwpdgL7wqZ,anonymous,EN-GB,"Yes, I am over 18 years old, and I consent to take part in this study",British,English,Yes,Four times,Three times,Never,Never,Twice,Never,Never,Never,Six times,Six times,Three times,Never,Never,Six times,Never,0,0,2.353,0,98,91,100,20,30,48,57,More people are eating less meat,2,31,Female,No,5c449c233be7b70001fd6b2f,none,none,none,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
