PROLIFIC_ID,Consent,nationality,country,resident,FFQ_1,FFQ_2,FFQ_3,FFQ_4,FFQ_5,FFQ_6,FFQ_7,FFQ_8,FFQ_9,FFQ_10,FFQ_11,FFQ_12,FFQ_13,FFQ_14,FFQ_15,interest_T1,attitude_T1,intentionuni_T1,intentionbi_T1,cons_now_perc,cons_next_perc,cons_six_perc,man_check,politics,age,gender,veg,condition,format,norm_info,interest_T2,attitude_T2,intentionuni_T2,intentionbi_T2,FFQ_T2_1,FFQ_T2_2,FFQ_T2_3,FFQ_T2_4,FFQ_T2_5,FFQ_T2_6,FFQ_T2_7,FFQ_T2_8,FFQ_T2_9,FFQ_T2_10,FFQ_T2_11,FFQ_T2_12,FFQ_T2_13,FFQ_T2_14,FFQ_T2_15,think_reduce,why_think,active_reduce,cons_proj,cons_proj_c,FFQ_T1_meat,genderbi,age_c,prob_time,read_time,complete
00aGwdK3g5,"Yes, I am over 18 years old, and I consent to take part in this study",British,English,Yes,3,3,0,1,0,0,0,2,28,28,2,2,4,14,1,25,35,74,50,43,59,87,More people are eating less meat,3,24,Female,No,st_graph,visual,static,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,63,21.763777777777776,4,Female,-15.417611741160776,0,6.793,0
065gZkVzeZ,"Yes, I am over 18 years old, and I consent to take part in this study",British,English,Yes,4,3,0,2,1,1,0,2,4,6,1,0,0,7,6,67,54,76,32,23,22,42,More people are eating less meat,2,21,Female,No,st_text,text,static,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29,-12.236222222222224,7,Female,-18.417611741160776,0,18.544,0
06fZDyrce7,"Yes, I am over 18 years old, and I consent to take part in this study",British,English,Yes,2,4,3,2,4,5,3,2,2,3,4,3,3,3,5,2,0,2,84,65,25,35,More people are eating less meat,5,34,Male,No,dy_graph,visual,dynamic,6,4,4,49,5,2,4,4,3,5,7,3,5,2,6,6,6,7,4,No,Eaten meat every day,No,41.666666666666664,0.43044444444443997,21,Male,-5.417611741160776,0,9.971,1
08d9EC2QZ3,"Yes, I am over 18 years old, and I consent to take part in this study",British,English,Yes,21,1,0,1,2,1,0,2,4,1,14,0,0,7,0,52,71,78,48,17,19,93,People are eating about the same amount of meat,3,52,Female,No,dy_graph,visual,dynamic,45,49,52,71,7,1,0,1,1,0,0,2,5,1,5,0,0,4,0,NA,NA,No,43,1.7637777777777757,5,Female,12.582388258839224,1,4.331,1
09nm6qsqcw,"Yes, I am over 18 years old, and I consent to take part in this study",British,English,Yes,5,3,0,1,0,1,1,2,1,6,0,0,0,1,0,100,74,70,50,15,15,30,More people are eating less meat,2,29,Female,No,none,none,none,100,100,74,50,5,4,1,1,0,0,1,4,2,7,0,0,0,4,0,No,Because I still ate meat with most meals,No,20,-21.236222222222224,6,Female,-10.417611741160776,0,2.549,1
0a7hcSr5Cz,"Yes, I am over 18 years old, and I consent to take part in this study",British,Scottish,Yes,7,3,1,3,2,2,0,2,7,7,1,2,1,3,0,53,56,64,64,23,15,40,Fewer people are eating less meat,2,37,Male,No,st_text,text,static,51,53,72,65,4,2,1,4,3,2,0,2,7,7,0,2,1,3,0,Yes,I had a chili that was meat free and ate it over three nights,No,26,-15.236222222222224,11,Male,-2.4176117411607763,0,63.541,1
0bGnKovhIF,"Yes, I am over 18 years old, and I consent to take part in this study",British,English,Yes,14,2,0,2,0,1,0,3,14,7,2,2,2,4,0,69,100,73,17,25,25,36,More people are eating less meat,4,50,Female,No,st_text,text,static,50,50,52,50,4,2,0,4,0,1,0,2,7,14,2,1,2,6,0,No,I was eating with other carnivores,Yes,28.666666666666668,-12.569555555555556,5,Female,10.582388258839224,0,9.402,1
0Cmt5fFAKO,"Yes, I am over 18 years old, and I consent to take part in this study",British,English,Yes,5,3,0,3,1,1,0,1,5,5,2,2,0,2,0,24,51,25,51,50,53,58,More people are eating less meat,4,55,Male,No,none,none,none,39,50,5,43,5,2,0,2,2,2,0,2,6,6,4,4,0,5,0,No,Felt like the same amount,No,53.666666666666664,12.43044444444444,8,Male,15.582388258839224,0,6.332,1
0EapBEBiJY,"Yes, I am over 18 years old, and I consent to take part in this study",British,English,Yes,3,2,0,0,0,0,0,3,2,2,0,0,0,2,0,56,56,55,76,27,75,81,More people are eating less meat,4,44,Female,No,dy_text,text,dynamic,59,67,71,79,6,1,0,1,0,0,0,2,4,4,1,0,0,3,0,Yes,No money for meat,No,61,19.763777777777776,2,Female,4.582388258839224,0,5.311,1
0EKaj1n75w,"Yes, I am over 18 years old, and I consent to take part in this study",British,English,Yes,4,3,0,0,2,0,0,0,6,6,3,0,0,6,0,98,91,100,20,30,48,57,More people are eating less meat,2,31,Female,No,none,none,none,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45,3.7637777777777757,5,Female,-8.417611741160776,0,2.353,0
0HfD1Skx6B,"Yes, I am over 18 years old, and I consent to take part in this study",British,English,Yes,7,3,0,0,1,2,1,14,5,6,1,1,0,14,0,51,57,55,52,15,19,35,More people are eating less meat,4,25,Female,No,dy_text,text,dynamic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23,-18.236222222222224,7,Female,-14.417611741160776,0,8.369,0
0hjuKjjDQ8,"Yes, I am over 18 years old, and I consent to take part in this study",British,English,Yes,14,5,0,0,1,0,0,0,2,3,0,0,0,0,0,39,72,51,50,76,65,85,People are eating about the same amount of meat,2,22,Male,No,st_graph,visual,static,34,50,4,50,21,2,0,1,1,0,0,3,4,3,1,0,0,3,0,No,i didnt change what i intended to have,No,75.33333333333333,34.097111111111104,6,Male,-17.417611741160776,0,52.674,1
0J5uny7ZtL,"Yes, I am over 18 years old, and I consent to take part in this study",British,English,Yes,7,6,5,4,5,4,3,2,5,6,7,5,4,6,5,28,69,16,67,30,17,22,More people are eating less meat,4,38,Male,No,dy_text,text,dynamic,10,50,22,51,4,4,3,2,3,2,1,1,3,3,3,3,0,2,0,No,I don't think about it,No,23,-18.236222222222224,27,Male,-1.4176117411607763,0,6.041,1
0jIV2gaFGa,"Yes, I am over 18 years old, and I consent to take part in this study",British,English,Yes,14,5,0,1,1,1,0,1,7,21,1,1,0,14,0,54,70,67,49,25,33,52,More people are eating less meat,3,28,Female,No,st_text,text,static,58,68,65,42,14,4,0,2,1,0,0,1,5,14,0,1,0,7,0,No,ate the same type of food as usual,No,36.666666666666664,-4.56955555555556,8,Female,-11.417611741160776,0,6.621,1
0KgpS1nrJl,"Yes, I am over 18 years old, and I consent to take part in this study",British,Scottish,Yes,7,4,0,0,1,2,0,2,7,7,1,0,0,5,0,82,66,76,59,31,43,46,More people are eating less meat,1,40,Female,No,dy_text,text,dynamic,57,51,59,59,2,1,0,1,2,1,0,1,5,4,0,1,0,2,1,Yes,I think the weather impacts what i eat and i just havent felt like eating meat,Yes,40,-1.2362222222222243,7,Female,0.5823882588392237,0,10.61,1
0NbOJHSF6d,"Yes, I am over 18 years old, and I consent to take part in this study",British,English,Yes,14,0,0,1,0,0,0,1,7,14,6,3,4,14,2,91,98,96,87,45,53,60,More people are eating less meat,1,29,Other,Yes,none,none,none,79,87,77,84,14,0,0,1,0,0,0,1,5,14,4,3,2,6,1,No,I rarely eat meat,No,52.666666666666664,11.43044444444444,1,NA,-10.417611741160776,0,8.596,1
0nICffJehV,"Yes, I am over 18 years old, and I consent to take part in this study",British,English,Yes,2,1,0,2,1,0,0,2,6,7,1,3,0,7,0,6,17,7,49,25,18,20,People are eating about the same amount of meat,4,49,Male,No,st_graph,visual,static,20,83,21,51,7,1,0,2,3,0,0,3,6,7,2,3,0,2,0,No,I never willingly switched from meat to something else,No,21,-20.236222222222224,4,Male,9.582388258839224,0,9.964,1
0nZhkNUDnM,"Yes, I am over 18 years old, and I consent to take part in this study",British,Scottish,Yes,2,2,0,0,3,0,1,0,0,3,2,0,0,4,0,24,48,50,49,10,10,10,People are eating about the same amount of meat,4,25,Female,No,none,none,none,23,50,52,51,5,2,0,0,5,1,0,0,1,5,3,0,0,5,0,No,NA,No,10,-31.236222222222224,6,Female,-14.417611741160776,0,6.894,1
0O1Y6LyV0b,"Yes, I am over 18 years old, and I consent to take part in this study",British,English,Yes,6,4,0,1,0,0,0,5,3,6,2,4,3,5,5,100,98,77,50,33,45,60,More people are eating less meat,3,41,Male,No,st_text,text,static,100,100,100,49,5,2,0,1,0,0,1,2,5,5,1,3,2,3,3,Yes,I'm just trying to recall the meals I had,No,46,4.763777777777776,5,Male,1.5823882588392237,0,12.014,1
0pb8F0kUYC,"Yes, I am over 18 years old, and I consent to take part in this study",British,English,Yes,28,14,0,2,1,3,0,3,28,28,3,2,0,28,0,50,78,76,33,30,35,60,More people are eating less meat,4,37,Male,No,dy_graph,visual,dynamic,58,100,65,70,21,7,0,3,0,3,0,2,7,7,0,2,0,7,3,No,It was t planned to be,No,41.666666666666664,0.43044444444443997,20,Male,-2.4176117411607763,0,14.142,1
0QEhxuORFY,"Yes, I am over 18 years old, and I consent to take part in this study",British,English,Yes,5,1,0,1,2,1,1,1,21,21,2,2,0,14,0,7,75,8,52,10,10,19,More people are eating less meat,3,59,Male,No,st_text,text,static,49,69,34,50,6,1,0,1,3,1,0,0,21,21,1,1,0,14,0,No,"Whilst my consumption varies from week to week, it's fairly modest.  I don't particularly seek to reduce consumption",No,13,-28.236222222222224,6,Male,19.582388258839224,0,12.624,1
0RB02hWcqj,"Yes, I am over 18 years old, and I consent to take part in this study",British,English,Yes,2,3,0,2,2,3,1,2,4,3,2,2,2,3,0,87,100,0,51,30,32,34,More people are eating less meat,4,20,Female,No,st_text,text,static,48,54,55,51,3,1,0,4,1,1,2,1,1,2,1,1,1,28,0,Yes,I dont eat it that often,No,32,-9.236222222222224,11,Female,-19.417611741160776,1,2.468,1
0S7ASaKMmQ,"Yes, I am over 18 years old, and I consent to take part in this study",British,English,Yes,1,5,0,0,1,1,0,2,7,21,0,0,1,4,0,61,76,64,31,20,34,50,More people are eating less meat,1,22,Female,No,st_text,text,static,31,71,20,50,1,4,0,0,1,1,0,1,14,14,0,0,0,3,0,No,didnt make any effort to so dont think i did,No,34.666666666666664,-6.56955555555556,7,Female,-17.417611741160776,0,10.216,1
0SU8WEDLNK,"Yes, I am over 18 years old, and I consent to take part in this study",British,English,Yes,4,2,0,4,1,2,0,4,3,14,4,4,0,4,0,100,100,100,33,30,50,84,People are eating about the same amount of meat,4,49,Female,No,st_text,text,static,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,54.666666666666664,13.43044444444444,9,Female,9.582388258839224,0,14.037,0
0tNOE7C1x1,"Yes, I am over 18 years old, and I consent to take part in this study",British,English,Yes,1,6,1,1,0,2,0,0,2,4,1,1,0,2,0,22,50,1,51,34,21,50,More people are eating less meat,4,39,Female,No,none,none,none,20,50,26,55,2,4,2,0,2,1,0,0,4,5,1,0,0,2,0,No,NA,No,35,-6.236222222222224,10,Female,-0.41761174116077626,0,6.525,1
0tsFBnYriI,"Yes, I am over 18 years old, and I consent to take part in this study",British,English,Yes,7,3,1,3,0,2,0,3,4,5,1,3,0,2,0,7,49,23,51,24,26,41,More people are eating less meat,4,37,Male,No,st_graph,visual,static,27,49,52,51,6,7,6,4,6,6,3,4,5,6,2,4,0,5,3,No,Just into a routine,No,30.333333333333332,-10.902888888888892,9,Male,-2.4176117411607763,1,4.739,1
0uAm98UY7m,"Yes, I am over 18 years old, and I consent to take part in this study",British,English,Yes,3,14,0,1,0,0,0,0,3,2,0,0,1,0,3,65,51,65,51,35,41,50,More people are eating less meat,3,29,Other,No,dy_graph,visual,dynamic,69,81,89,30,2,2,0,1,0,0,0,0,3,1,0,0,2,1,1,Yes,"Because i mostly ate vegan ""chicken""",No,42,0.7637777777777757,15,NA,-10.417611741160776,0,49.986,1
