outcome,contrast,estimate,SE,df,CL,t.ratio,p.value,"unlist(T1check_bf[3, ])",T1check_rr,"unlist(T1check_bf[5, ])"
attitude_T1,stat_vs_dy,3.2,2.65,846,"-1.99, 8.4",1.21,.227,1.42,"[0.05, 10]",no
interest_T1,stat_vs_dy,3.68,2.87,846,"-1.95, 9.3",1.28,.200,1.6,"[0.05, 10]",no
intentionuni_T1,stat_vs_dy,4.51,2.98,846,"-1.34, 10.35",1.51,.131,2.15,"[0.05, 10]",no
attitude_T1,none_vs_dy,1.93,2.11,846,"-2.22, 6.07",0.91,.362,0.88,"[0.05, 10]",no
interest_T1,none_vs_dy,0.57,2.29,846,"-3.92, 5.07",0.25,.802,0.5,"[0.05, 8]",no
intentionuni_T1,none_vs_dy,1.15,2.38,846,"-3.51, 5.82",0.49,.627,0.63,"[0.05, 10]",no
attitude_T1,norm_infostatic:formattext,5.59,5.73,844,"-5.66, 16.84",0.97,.330,1.37,"[0.05, 10]",no
interest_T1,norm_infostatic:formattext,10.61,6.21,844,"-1.58, 22.8",1.71,.088,2.37,"[0.05, 10]",no
intentionuni_T1,norm_infostatic:formattext,13.83,6.44,844,"1.18, 26.47",2.15,.032,3.39,"[4.35, 10]",H1
attitude_T1,dytext_vs_dyvis,6.46,2.5,844,"1.56, 11.37",2.58,.010,12.69,"[1.25, 10]",H1
interest_T1,dytext_vs_dyvis,6.71,2.71,844,"1.4, 12.03",2.48,.013,10.01,"[1.45, 10]",H1
intentionuni_T1,dytext_vs_dyvis,7.55,2.81,844,"2.03, 13.06",2.68,.007,14.83,"[1.35, 10]",H1
